"","AmountRequested","AmountFundedByInvestors","InterestRate","DebtToIncomeRatio","MonthlyIncome","OpenCREDITLines","RevolvingCREDITBalance","InquiriesintheLast6Months","fico_average"
"AmountRequested",1,0.970289780692596,0.330771219084485,0.0820683538697252,0.458669500084786,0.194668345305415,0.342696709440242,-0.0228670946495706,0.0816644240426131
"AmountFundedByInvestors",0.970289780692596,1,0.335646747548363,0.0939162742428137,0.436067997063481,0.185629332334248,0.325143129283644,-0.0562015132829478,0.0715956395879297
"InterestRate",0.330771219084485,0.335646747548363,1,0.172991127391475,0.0360696453410834,0.0829789889436508,0.0832204416976134,0.169411991517243,-0.711941370191225
"DebtToIncomeRatio",0.0820683538697252,0.0939162742428137,0.172991127391475,1,-0.169670839233111,0.370592650512341,0.219431925986896,0.0116216809737549,-0.218744691538934
"MonthlyIncome",0.458669500084786,0.436067997063481,0.0360696453410834,-0.169670839233111,1,0.226207311876831,0.435161388913483,0.0396897727512859,0.117058251302597
"OpenCREDITLines",0.194668345305415,0.185629332334248,0.0829789889436508,0.370592650512341,0.226207311876831,1,0.315000442247498,0.10608316619918,-0.0911846097410218
"RevolvingCREDITBalance",0.342696709440242,0.325143129283644,0.0832204416976134,0.219431925986896,0.435161388913483,0.315000442247498,1,-0.0184976526270583,-0.0105793226302153
"InquiriesintheLast6Months",-0.0228670946495706,-0.0562015132829478,0.169411991517243,0.0116216809737549,0.0396897727512859,0.10608316619918,-0.0184976526270583,1,-0.0882374501167421
"fico_average",0.0816644240426131,0.0715956395879297,-0.711941370191225,-0.218744691538934,0.117058251302597,-0.0911846097410218,-0.0105793226302153,-0.0882374501167421,1
